marker,n_individuos,n_pares,pendiente_por_100km,intercepto,r2_ols,p_ols_pendiente,mantel_r,mantel_p,n,pc1_var,pc2_var
cytb,35,595,0.007011701314126914,0.006210688555820299,0.003898771284813085,0.12816935125218676,0.06244014161429482,0.589,35,0.3552078845818581,0.20150755632304398
mc1r,42,861,0.010557799663342833,0.005386866040380548,0.0012424618529870424,0.3015522742630503,0.035248572353876156,0.61,42,0.21547486343177627,0.17457961885494797
